Season;Date;Location;Event Type;Event Name;Round Number;Round Name;Player;Player ID;Club;Game Number;Score;Handicap
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Maleficent;74911;Disney Characters - Disney Villains;0;212;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Maleficent;74911;Disney Characters - Disney Villains;1;216;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Maleficent;74911;Disney Characters - Disney Villains;2;216;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Maleficent;74911;Disney Characters - Disney Villains;3;220;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Mickey Mouse;68965;Disney Characters - Disney Heroes;0;215;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Mickey Mouse;68965;Disney Characters - Disney Heroes;1;205;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Mickey Mouse;68965;Disney Characters - Disney Heroes;2;230;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Mickey Mouse;68965;Disney Characters - Disney Heroes;3;203;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Abaddon the Despoiler;54558;Warhammer 40K - Chaos;0;228;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Abaddon the Despoiler;54558;Warhammer 40K - Chaos;1;230;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Abaddon the Despoiler;54558;Warhammer 40K - Chaos;2;227;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Abaddon the Despoiler;54558;Warhammer 40K - Chaos;3;208;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Commander Shepard;85142;Mass Effect - Alliance Crew;0;198;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Commander Shepard;85142;Mass Effect - Alliance Crew;1;214;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Commander Shepard;85142;Mass Effect - Alliance Crew;2;212;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Commander Shepard;85142;Mass Effect - Alliance Crew;3;217;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Worf;67335;Star Trek - Klingon-Romulan;0;198;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Worf;67335;Star Trek - Klingon-Romulan;1;217;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Worf;67335;Star Trek - Klingon-Romulan;2;205;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Worf;67335;Star Trek - Klingon-Romulan;3;212;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Gandalf;98265;Lord of the Rings - Free Peoples;0;222;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Gandalf;98265;Lord of the Rings - Free Peoples;1;221;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Gandalf;98265;Lord of the Rings - Free Peoples;2;213;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Gandalf;98265;Lord of the Rings - Free Peoples;3;220;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Jean-Luc Picard;56338;Star Trek - Federation;0;216;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Jean-Luc Picard;56338;Star Trek - Federation;1;207;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Jean-Luc Picard;56338;Star Trek - Federation;2;213;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Jean-Luc Picard;56338;Star Trek - Federation;3;204;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Sauron;85741;Lord of the Rings - Forces of Mordor;0;224;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Sauron;85741;Lord of the Rings - Forces of Mordor;1;230;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Sauron;85741;Lord of the Rings - Forces of Mordor;2;194;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Sauron;85741;Lord of the Rings - Forces of Mordor;3;205;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Lord Voldemort;65247;Harry Potter - Death Eaters;0;207;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Lord Voldemort;65247;Harry Potter - Death Eaters;1;229;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Lord Voldemort;65247;Harry Potter - Death Eaters;2;217;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Lord Voldemort;65247;Harry Potter - Death Eaters;3;214;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Illusive Man;86178;Mass Effect - Cerberus-Reapers;0;212;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Illusive Man;86178;Mass Effect - Cerberus-Reapers;1;238;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Illusive Man;86178;Mass Effect - Cerberus-Reapers;2;216;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Illusive Man;86178;Mass Effect - Cerberus-Reapers;3;196;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Jon Snow;86781;Game of Thrones - Stark-Targaryen Alliance;0;217;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Jon Snow;86781;Game of Thrones - Stark-Targaryen Alliance;1;211;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Jon Snow;86781;Game of Thrones - Stark-Targaryen Alliance;2;215;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Jon Snow;86781;Game of Thrones - Stark-Targaryen Alliance;3;216;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Harbinger;69213;Mass Effect - Cerberus-Reapers;0;215;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Harbinger;69213;Mass Effect - Cerberus-Reapers;1;206;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Harbinger;69213;Mass Effect - Cerberus-Reapers;2;225;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Harbinger;69213;Mass Effect - Cerberus-Reapers;3;198;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Luke Skywalker;91905;Star Wars - Jedi Order;0;197;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Luke Skywalker;91905;Star Wars - Jedi Order;1;162;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Luke Skywalker;91905;Star Wars - Jedi Order;2;178;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Luke Skywalker;91905;Star Wars - Jedi Order;3;179;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Feyd-Rautha;56698;Dune - Harkonnen-Sardaukar;0;208;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Feyd-Rautha;56698;Dune - Harkonnen-Sardaukar;1;198;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Feyd-Rautha;56698;Dune - Harkonnen-Sardaukar;2;203;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Feyd-Rautha;56698;Dune - Harkonnen-Sardaukar;3;216;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;LeChuck;60463;LucasArts Games - Monkey Island & Legacy;0;206;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;LeChuck;60463;LucasArts Games - Monkey Island & Legacy;1;198;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;LeChuck;60463;LucasArts Games - Monkey Island & Legacy;2;206;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;LeChuck;60463;LucasArts Games - Monkey Island & Legacy;3;205;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Spock;73526;Star Trek - Federation;0;181;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Spock;73526;Star Trek - Federation;1;168;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Spock;73526;Star Trek - Federation;2;173;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Spock;73526;Star Trek - Federation;3;207;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Gowron;52847;Star Trek - Klingon-Romulan;0;205;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Gowron;52847;Star Trek - Klingon-Romulan;1;208;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Gowron;52847;Star Trek - Klingon-Romulan;2;215;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Gowron;52847;Star Trek - Klingon-Romulan;3;206;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Darth Vader;68024;Star Wars - Sith Empire;0;240;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Darth Vader;68024;Star Wars - Sith Empire;1;210;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Darth Vader;68024;Star Wars - Sith Empire;2;235;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Darth Vader;68024;Star Wars - Sith Empire;3;206;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Kyle Katarn;79439;LucasArts Games - Jedi Knight Era;0;197;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Kyle Katarn;79439;LucasArts Games - Jedi Knight Era;1;212;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Kyle Katarn;79439;LucasArts Games - Jedi Knight Era;2;207;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Kyle Katarn;79439;LucasArts Games - Jedi Knight Era;3;214;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Harry Potter;52082;Harry Potter - Order of the Phoenix;0;240;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Harry Potter;52082;Harry Potter - Order of the Phoenix;1;224;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Harry Potter;52082;Harry Potter - Order of the Phoenix;2;213;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Harry Potter;52082;Harry Potter - Order of the Phoenix;3;232;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;The Dagda;143101;Celtic Myth - Tuatha De Danann;0;216;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;The Dagda;143101;Celtic Myth - Tuatha De Danann;1;207;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;The Dagda;143101;Celtic Myth - Tuatha De Danann;2;208;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;The Dagda;143101;Celtic Myth - Tuatha De Danann;3;206;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Indra;124470;Hindu Myth - Devas;0;212;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Indra;124470;Hindu Myth - Devas;1;198;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Indra;124470;Hindu Myth - Devas;2;214;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Indra;124470;Hindu Myth - Devas;3;242;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Balor;139930;Celtic Myth - Fomorians;0;229;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Balor;139930;Celtic Myth - Fomorians;1;236;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Balor;139930;Celtic Myth - Fomorians;2;208;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Balor;139930;Celtic Myth - Fomorians;3;205;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Tiamat;190311;Mesopotamian Myth - Chaos Ancients;0;208;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Tiamat;190311;Mesopotamian Myth - Chaos Ancients;1;215;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Tiamat;190311;Mesopotamian Myth - Chaos Ancients;2;226;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Tiamat;190311;Mesopotamian Myth - Chaos Ancients;3;202;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Mahishasura;137200;Hindu Myth - Asuras;0;251;0
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Mahishasura;137200;Hindu Myth - Asuras;1;243;0
