Season;Date;Location;Event Type;Event Name;Round Number;Round Name;Player;Player ID;Club;Game Number;Score;Handicap
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Zeus;139274;Greek Myth - Olympians;0;192;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Zeus;139274;Greek Myth - Olympians;1;224;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Zeus;139274;Greek Myth - Olympians;2;227;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Zeus;139274;Greek Myth - Olympians;3;229;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Zeus;139274;Greek Myth - Olympians;4;223;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Zeus;139274;Greek Myth - Olympians;5;206;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Zeus;139274;Greek Myth - Olympians;6;218;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Zeus;139274;Greek Myth - Olympians;7;211;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Athena;142739;Greek Myth - Olympians;0;201;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Athena;142739;Greek Myth - Olympians;1;200;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Athena;142739;Greek Myth - Olympians;2;217;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Athena;142739;Greek Myth - Olympians;3;223;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Athena;142739;Greek Myth - Olympians;4;193;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Athena;142739;Greek Myth - Olympians;5;171;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Athena;142739;Greek Myth - Olympians;6;198;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Athena;142739;Greek Myth - Olympians;7;167;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Apollo;176933;Greek Myth - Olympians;0;203;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Apollo;176933;Greek Myth - Olympians;1;203;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Apollo;176933;Greek Myth - Olympians;2;195;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Apollo;176933;Greek Myth - Olympians;3;206;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Apollo;176933;Greek Myth - Olympians;4;177;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Apollo;176933;Greek Myth - Olympians;5;206;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Apollo;176933;Greek Myth - Olympians;6;191;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Apollo;176933;Greek Myth - Olympians;7;216;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Artemis;103046;Greek Myth - Olympians;0;176;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Artemis;103046;Greek Myth - Olympians;1;178;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Artemis;103046;Greek Myth - Olympians;2;180;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Artemis;103046;Greek Myth - Olympians;3;188;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Artemis;103046;Greek Myth - Olympians;4;170;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Artemis;103046;Greek Myth - Olympians;5;188;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Artemis;103046;Greek Myth - Olympians;6;176;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Artemis;103046;Greek Myth - Olympians;7;180;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Cronus;174393;Greek Myth - Titans & Primordials;0;225;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Cronus;174393;Greek Myth - Titans & Primordials;1;224;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Cronus;174393;Greek Myth - Titans & Primordials;2;200;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Cronus;174393;Greek Myth - Titans & Primordials;3;237;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Cronus;174393;Greek Myth - Titans & Primordials;4;207;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Cronus;174393;Greek Myth - Titans & Primordials;5;207;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Cronus;174393;Greek Myth - Titans & Primordials;6;218;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Cronus;174393;Greek Myth - Titans & Primordials;7;232;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Rhea;104221;Greek Myth - Titans & Primordials;0;178;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Rhea;104221;Greek Myth - Titans & Primordials;1;185;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Rhea;104221;Greek Myth - Titans & Primordials;2;149;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Rhea;104221;Greek Myth - Titans & Primordials;3;168;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Rhea;104221;Greek Myth - Titans & Primordials;4;209;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Rhea;104221;Greek Myth - Titans & Primordials;5;188;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Rhea;104221;Greek Myth - Titans & Primordials;6;193;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Rhea;104221;Greek Myth - Titans & Primordials;7;194;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Atlas;118236;Greek Myth - Titans & Primordials;0;194;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Atlas;118236;Greek Myth - Titans & Primordials;1;202;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Atlas;118236;Greek Myth - Titans & Primordials;2;188;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Atlas;118236;Greek Myth - Titans & Primordials;3;180;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Atlas;118236;Greek Myth - Titans & Primordials;4;218;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Atlas;118236;Greek Myth - Titans & Primordials;5;190;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Atlas;118236;Greek Myth - Titans & Primordials;6;194;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Atlas;118236;Greek Myth - Titans & Primordials;7;193;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Hyperion;120144;Greek Myth - Titans & Primordials;0;164;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Hyperion;120144;Greek Myth - Titans & Primordials;1;159;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Hyperion;120144;Greek Myth - Titans & Primordials;2;177;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Hyperion;120144;Greek Myth - Titans & Primordials;3;195;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Hyperion;120144;Greek Myth - Titans & Primordials;4;217;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Hyperion;120144;Greek Myth - Titans & Primordials;5;180;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Hyperion;120144;Greek Myth - Titans & Primordials;6;156;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Hyperion;120144;Greek Myth - Titans & Primordials;7;165;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Ra;143286;Egyptian Myth - Solar Court;0;198;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Ra;143286;Egyptian Myth - Solar Court;1;177;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Ra;143286;Egyptian Myth - Solar Court;2;211;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Ra;143286;Egyptian Myth - Solar Court;3;213;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Ra;143286;Egyptian Myth - Solar Court;4;199;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Ra;143286;Egyptian Myth - Solar Court;5;218;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Ra;143286;Egyptian Myth - Solar Court;6;198;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Ra;143286;Egyptian Myth - Solar Court;7;182;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Horus;174473;Egyptian Myth - Solar Court;0;212;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Horus;174473;Egyptian Myth - Solar Court;1;191;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Horus;174473;Egyptian Myth - Solar Court;2;226;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Horus;174473;Egyptian Myth - Solar Court;3;214;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Horus;174473;Egyptian Myth - Solar Court;4;189;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Horus;174473;Egyptian Myth - Solar Court;5;196;0
2024;2024-09-18;Pantheon Lanes;tournament;Mythic Legends Invitational;1;Qualifying;Horus;174473;Egyptian Myth - Solar Court;6;196;0
