Season;Date;Location;Event Type;Event Name;Round Number;Round Name;Player;Player ID;Club;Game Number;Score;Handicap
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Aaron Schlemmer;38977;Phönix Lauf 2;0;160;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Aaron Schlemmer;38977;Phönix Lauf 2;1;163;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Aaron Schlemmer;38977;Phönix Lauf 2;2;174;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Aaron Schlemmer;38977;Phönix Lauf 2;3;169;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Aaron Schlemmer;38977;Phönix Lauf 2;4;188;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Aaron Schlemmer;38977;Phönix Lauf 2;5;185;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Achhammer Klara;38760;HighRoller Rosenheim 2;0;186;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Achhammer Klara;38760;HighRoller Rosenheim 2;1;185;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Achhammer Klara;38760;HighRoller Rosenheim 2;2;177;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Achhammer Klara;38760;HighRoller Rosenheim 2;3;196;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Achhammer Klara;38760;HighRoller Rosenheim 2;4;197;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Achhammer Klara;38760;HighRoller Rosenheim 2;5;186;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Hartmann Benedikt;38112;Bavaria Unterföhring 1;0;188;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Hartmann Benedikt;38112;Bavaria Unterföhring 1;1;181;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Hartmann Benedikt;38112;Bavaria Unterföhring 1;2;191;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Hartmann Benedikt;38112;Bavaria Unterföhring 1;3;187;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Hartmann Benedikt;38112;Bavaria Unterföhring 1;4;198;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Hartmann Benedikt;38112;Bavaria Unterföhring 1;5;208;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Klaus Weiske;7182;Mainauenbowler Bayreuth Land 2;0;203;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Klaus Weiske;7182;Mainauenbowler Bayreuth Land 2;1;192;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Klaus Weiske;7182;Mainauenbowler Bayreuth Land 2;2;213;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Klaus Weiske;7182;Mainauenbowler Bayreuth Land 2;3;200;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Klaus Weiske;7182;Mainauenbowler Bayreuth Land 2;4;202;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Klaus Weiske;7182;Mainauenbowler Bayreuth Land 2;5;219;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Marco Hürdler;25271;Donaubowler Regensburg 1;0;168;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Marco Hürdler;25271;Donaubowler Regensburg 1;1;183;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Marco Hürdler;25271;Donaubowler Regensburg 1;2;180;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Marco Hürdler;25271;Donaubowler Regensburg 1;3;183;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Marco Hürdler;25271;Donaubowler Regensburg 1;4;178;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Marco Hürdler;25271;Donaubowler Regensburg 1;5;184;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Marina Weiske;7154;Mainauenbowler Bayreuth Land 2;0;205;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Marina Weiske;7154;Mainauenbowler Bayreuth Land 2;1;202;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Marina Weiske;7154;Mainauenbowler Bayreuth Land 2;2;208;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Marina Weiske;7154;Mainauenbowler Bayreuth Land 2;3;201;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Marina Weiske;7154;Mainauenbowler Bayreuth Land 2;4;213;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Marina Weiske;7154;Mainauenbowler Bayreuth Land 2;5;207;0
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Max Fischbach;16245;BC Comet Nürnberg;0;198;0
